Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84
Date,Time,1,2,3,4,5,7,34,48,140,219,284,323,364,684,1476,1412,1625,1353,1219,1223,1227,1230,1771,1970,6137,6111,6107,2660,2621,2571,2448,2515,2519,2759,2857,3008,3130,3281,3536,3848,4041,4266,4369,4453,4594,4983,5060,5301,5673,5829,5851,5914,5974,6064,6089,5942,5783,5637,5459,5331,5276,5279,5334,5463,5695,4424,4237,4099,3945,3753,3647,3575,3278,3048,2758,2422,1914,1037,322,47,6105,6106
1/1/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.094691,0.045,0.045,0.045,0.045,0.045,0.094691,0.094691,0.094691,0.094691,0.094691,0.54667,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.58268,0.58268,0.58268,0.40211,0.16123,0.16123,0.25621,0.25621,0.33144,0.06739,0.06739,0.63198,0.04706,0.054855,0.15636,0.15608,0.15608,0.15608,0.15608,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.34589,0.34589,0.34589,0.34589,0.044478,0.24045,0.24045,0.061942,0.24045,0.24045,0.24045,0.24045,0.068181,0.068181,0.055865,0.17791,0.17791,0.17791,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0,0
1/2/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.094691,0.045,0.045,0.045,0.045,0.045,0.094691,0.094691,0.094691,0.094691,0.094691,0.54667,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.58268,0.58268,0.58268,0.40211,0.16123,0.16123,0.25621,0.25621,0.33144,0.06739,0.06739,0.63198,0.04706,0.054855,0.15636,0.15608,0.15608,0.15608,0.15608,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.34589,0.34589,0.34589,0.34589,0.044478,0.24045,0.24045,0.061942,0.24045,0.24045,0.24045,0.24045,0.068181,0.068181,0.055865,0.17791,0.17791,0.17791,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0,0
1/3/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.094691,0.045,0.045,0.045,0.045,0.045,0.094691,0.094691,0.094691,0.094691,0.094691,0.54667,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.58268,0.58268,0.58268,0.40211,0.16123,0.16123,0.25621,0.25621,0.33144,0.06739,0.06739,0.63198,0.04706,0.054855,0.15636,0.15608,0.15608,0.15608,0.15608,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.34589,0.34589,0.34589,0.34589,0.044478,0.24045,0.24045,0.061942,0.24045,0.24045,0.24045,0.24045,0.068181,0.068181,0.055865,0.17791,0.17791,0.17791,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0,0
1/4/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.094691,0.045,0.045,0.045,0.045,0.045,0.094691,0.094691,0.094691,0.094691,0.094691,0.54667,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.58268,0.58268,0.58268,0.40211,0.16123,0.16123,0.25621,0.25621,0.33144,0.06739,0.06739,0.63198,0.04706,0.054855,0.15636,0.15608,0.15608,0.15608,0.15608,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.34589,0.34589,0.34589,0.34589,0.044478,0.24045,0.24045,0.061942,0.24045,0.24045,0.24045,0.24045,0.068181,0.068181,0.055865,0.17791,0.17791,0.17791,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0,0
1/5/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.094691,0.045,0.045,0.045,0.045,0.045,0.094691,0.094691,0.094691,0.094691,0.094691,0.54667,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.58268,0.58268,0.58268,0.40211,0.16123,0.16123,0.25621,0.25621,0.33144,0.06739,0.06739,0.63198,0.04706,0.054855,0.15636,0.15608,0.15608,0.15608,0.15608,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.34589,0.34589,0.34589,0.34589,0.044478,0.24045,0.24045,0.061942,0.24045,0.24045,0.24045,0.24045,0.068181,0.068181,0.055865,0.17791,0.17791,0.17791,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0,0
1/6/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.094691,0.045,0.045,0.045,0.045,0.045,0.094691,0.094691,0.094691,0.094691,0.094691,0.54667,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.58268,0.58268,0.58268,0.40211,0.16123,0.16123,0.25621,0.25621,0.33144,0.06739,0.06739,0.63198,0.04706,0.054855,0.15636,0.15608,0.15608,0.15608,0.15608,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.34589,0.34589,0.34589,0.34589,0.044478,0.24045,0.24045,0.061942,0.24045,0.24045,0.24045,0.24045,0.068181,0.068181,0.055865,0.17791,0.17791,0.17791,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0,0
1/7/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.094691,0.045,0.045,0.045,0.045,0.045,0.094691,0.094691,0.094691,0.094691,0.094691,0.54667,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.58268,0.58268,0.58268,0.40211,0.16123,0.16123,0.25621,0.25621,0.33144,0.06739,0.06739,0.63198,0.04706,0.054855,0.15636,0.15608,0.15608,0.15608,0.15608,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.34589,0.34589,0.34589,0.34589,0.044478,0.24045,0.24045,0.061942,0.24045,0.24045,0.24045,0.24045,0.068181,0.068181,0.055865,0.17791,0.17791,0.17791,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0,0
1/8/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.094691,0.045,0.045,0.045,0.045,0.045,0.094691,0.094691,0.094691,0.094691,0.094691,0.54667,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.58268,0.58268,0.58268,0.40211,0.16123,0.16123,0.25621,0.25621,0.33144,0.06739,0.06739,0.63198,0.04706,0.054855,0.15636,0.15608,0.15608,0.15608,0.15608,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.34589,0.34589,0.34589,0.34589,0.044478,0.24045,0.24045,0.061942,0.24045,0.24045,0.24045,0.24045,0.068181,0.068181,0.055865,0.17791,0.17791,0.17791,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0,0
1/9/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.094691,0.045,0.045,0.045,0.045,0.045,0.094691,0.094691,0.094691,0.094691,0.094691,0.54667,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.081446,0.58268,0.58268,0.58268,0.40211,0.16123,0.16123,0.25621,0.25621,0.33144,0.06739,0.06739,0.63198,0.04706,0.054855,0.15636,0.15608,0.15608,0.15608,0.15608,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.11255,0.34589,0.34589,0.34589,0.34589,0.044478,0.24045,0.24045,0.061942,0.24045,0.24045,0.24045,0.24045,0.068181,0.068181,0.055865,0.17791,0.17791,0.17791,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0.17746,0,0
